date,bounty,title,url,author,author-url,type,tweeted,archive-url
2021-04-13,1337,Google Photos : Theft of Database & Arbitrary Files Android Vulnerability,https://servicenger.com/blog/mobile/google-photos-theft-of-database-arbitrary-files-android-vulnerability/,Rahul Kankrale,https://twitter.com/RahulKankrale,blog,true,?
2021-04-05,6000,I Built a TV That Plays All of Your Private YouTube Videos,https://bugs.xdavidhu.me/google/2021/04/05/i-built-a-tv-that-plays-all-of-your-private-youtube-videos/,David Schütz,https://twitter.com/xdavidhu,blog,true,?
2021-03-21,?,How I made it to Google HOF?,https://infosecwriteups.com/how-i-made-it-to-google-hof-f1cec85fdb1b,Sudhanshu Rajbhar,https://twitter.com/sudhanshur705,blog,true,?
2021-03-11,3133.7,How I Get Blind XSS At Google With Dork (First Bounty and HOF ),https://apapedulimu.click/google-vrp-how-i-get-blind-xss-at-google-with-dork-first-bounty-and-hof/,Rio Mulyadi Pulungan,https://twitter.com/riomulyadi_,blog,true,?
2021-03-08,0,Google VRP N/A: SSRF Bypass with Quadzero in Google Cloud Monitoring,https://omespino.com/write-up-google-vrp-n-a-ssrf-bypass-with-quadzero-in-google-cloud-monitoring/,Omar Espino,https://twitter.com/omespino,blog,true,?
2021-02-16,0,Dropping a shell in Google’s Cloud SQL (the speckle-umbrella story),https://irsl.medium.com/dropping-a-shell-in-googles-cloud-sql-the-speckle-umbrella-story-f9375bd4960d,Imre Rad,https://www.linkedin.com/in/imre-rad-2358749b/,blog,true,?
2021-01-27,?,"Hijacking Google Drive Files (documents, photo & video) through Google Docs Sharing",https://santuysec.id/2021/01/27/hijacking-google-drive-files-documents-photo-video-through-google-docs-sharing/,santuySec,https://twitter.com/santuySec,blog,true,?
2021-01-18,1337,The Embedded YouTube Player Told Me What You Were Watching (and more),https://bugs.xdavidhu.me/google/2021/01/18/the-embedded-youtube-player-told-me-what-you-were-watching-and-more/,David Schütz,https://twitter.com/xdavidhu,blog,true,?
2021-01-11,5000,"Stealing Your Private YouTube Videos, One Frame at a Time",https://bugs.xdavidhu.me/google/2021/01/11/stealing-your-private-videos-one-frame-at-a-time/,David Schütz,https://twitter.com/xdavidhu,blog,true,?
2021-01-08,3133.7,Blind XSS in Google Analytics Admin Panel — $3133.70,https://ashketchum.medium.com/blind-xss-in-google-analytics-admin-panel-3133-70-2185d1cce82a,Ashish Dhone,https://www.linkedin.com/in/ashish-dhone-640489135/,blog,true,?
2020-12-30,?,Getting my first Google VRP trophies,https://irsl.medium.com/getting-my-first-google-vrp-trophies-b56d700face,Imre Rad,https://www.linkedin.com/in/imre-rad-2358749b/,blog,true,?
2020-12-27,?,Google VRP Hijacking Google Docs Screenshots,https://blog.geekycat.in/google-vrp-hijacking-your-screenshots/,Sreeram KL,https://blog.geekycat.in/author/sreeram/,blog,true,?
2020-12-22,0,SSTI in Google Maps,https://www.ehpus.com/post/ssti-in-google-maps,Zohar Shacha,https://www.linkedin.com/in/zohar-shachar/,blog,true,?
2020-12-21,0,remote code execution when open a project in android studio that google refused to fix,https://seclists.org/fulldisclosure/2020/Dec/43,houjingyi,?,blog,true,?
2020-12-19,0,Google VRP – Sandboxed RCE as root on Apigee API proxies,https://omespino.com/write-up-google-vrp-n-a-sandboxed-rce-as-root-on-apigee-api-proxies/,Omar Espino,https://twitter.com/omespino,blog,true,?
